"1","CI","Africa/Abidjan","+00:00","+00:00",
"2","GH","Africa/Accra","+00:00","+00:00",
"3","ET","Africa/Addis_Ababa","+03:00","+03:00",
"4","DZ","Africa/Algiers","+01:00","+01:00",
"5","ER","Africa/Asmara","+03:00","+03:00",
"6","","Africa/Asmera","+03:00","+03:00",
"7","ML","Africa/Bamako","+00:00","+00:00",
"8","CF","Africa/Bangui","+01:00","+01:00",
"9","GM","Africa/Banjul","+00:00","+00:00",
"10","GW","Africa/Bissau","+00:00","+00:00",
"11","MW","Africa/Blantyre","+02:00","+02:00",
"12","CG","Africa/Brazzaville","+01:00","+01:00",
"13","BI","Africa/Bujumbura","+02:00","+02:00",
"14","EG","Africa/Cairo","+02:00","+02:00",
"15","MA","Africa/Casablanca","+00:00","+01:00",
"16","ES","Africa/Ceuta","+01:00","+02:00",
"17","GN","Africa/Conakry","+00:00","+00:00",
"18","SN","Africa/Dakar","+00:00","+00:00",
"19","TZ","Africa/Dar_es_Salaam","+03:00","+03:00",
"20","DJ","Africa/Djibouti","+03:00","+03:00",
"21","CM","Africa/Douala","+01:00","+01:00",
"22","EH","Africa/El_Aaiun","+00:00","+00:00",
"23","SL","Africa/Freetown","+00:00","+00:00",
"24","BW","Africa/Gaborone","+02:00","+02:00",
"25","ZW","Africa/Harare","+02:00","+02:00",
"26","ZA","Africa/Johannesburg","+02:00","+02:00",
"27","SS","Africa/Juba","+03:00","+03:00",
"28","UG","Africa/Kampala","+03:00","+03:00",
"29","SD","Africa/Khartoum","+03:00","+03:00",
"30","RW","Africa/Kigali","+02:00","+02:00",
"31","CD","Africa/Kinshasa","+01:00","+01:00",
"32","NG","Africa/Lagos","+01:00","+01:00",
"33","GA","Africa/Libreville","+01:00","+01:00",
"34","TG","Africa/Lome","+00:00","+00:00",
"35","AO","Africa/Luanda","+01:00","+01:00",
"36","CD","Africa/Lubumbashi","+02:00","+02:00",
"37","ZM","Africa/Lusaka","+02:00","+02:00",
"38","GQ","Africa/Malabo","+01:00","+01:00",
"39","MZ","Africa/Maputo","+02:00","+02:00",
"40","LS","Africa/Maseru","+02:00","+02:00",
"41","SZ","Africa/Mbabane","+02:00","+02:00",
"42","SO","Africa/Mogadishu","+03:00","+03:00",
"43","LR","Africa/Monrovia","+00:00","+00:00",
"44","KE","Africa/Nairobi","+03:00","+03:00",
"45","TD","Africa/Ndjamena","+01:00","+01:00",
"46","NE","Africa/Niamey","+01:00","+01:00",
"47","MR","Africa/Nouakchott","+00:00","+00:00",
"48","BF","Africa/Ouagadougou","+00:00","+00:00",
"49","BJ","Africa/Porto-Novo","+01:00","+01:00",
"50","ST","Africa/Sao_Tome","+00:00","+00:00",
"51","","Africa/Timbuktu","+00:00","+00:00",
"52","LY","Africa/Tripoli","+01:00","+02:00",
"53","TN","Africa/Tunis","+01:00","+01:00",
"54","NA","Africa/Windhoek","+01:00","+02:00",
"55","","AKST9AKDT","−09:00","−08:00",
"56","US","America/Adak","−10:00","−09:00",
"57","US","America/Anchorage","−09:00","−08:00",
"58","AI","America/Anguilla","−04:00","−04:00",
"59","AG","America/Antigua","−04:00","−04:00",
"60","BR","America/Araguaina","−03:00","−03:00",
"61","AR","America/ Buenos_Aires","−03:00","−03:00",
"62","AR","America/ Catamarca","−03:00","−03:00",
"63","","America/ ComodRivadavia","−03:00","−03:00",
"64","AR","America/ Cordoba","−03:00","−03:00",
"65","AR","America/ Jujuy","−03:00","−03:00",
"66","AR","America/ La_Rioja","−03:00","−03:00",
"67","AR","America/ Mendoza","−03:00","−03:00",
"68","AR","America/ Rio_Gallegos","−03:00","−03:00",
